,Movie_Title,Year,ThreeWords
238,Deadpool,2016,"['ajax', 'armored', 'boom']"
239,Good Will Hunting,1997,"['beat', 'beer', 'behold']"
240,Timber Falls,2007,"['2006', 'abortion', 'blood']"
241,Annie Hall,1977,"['alvy', 'break', 'following']"
242,Pariah,2011,"['bus', 'cruise', 'door']"
243,The Boondock Saints,2000,"['connor', 'crime', 'crying']"
244,Candle to Water,2012,"['caleb', 'carpet', 'foot']"
245,Slumdog Millionaire,2009,"['account', 'browning', 'burgers']"
246,The Bling Ring,2013,"['83', 'chloe', 'crime']"
247,Jennifer Eight,1992,"['angela', 'city', 'door']"
248,Flight,2012,"['bat', 'begin', 'crew']"
249,Meet Joe Black,1998,"['choking', 'drew', 'gratitude']"
250,The Distinguished Gentleman,1992,"['115', '27', '31']"
251,The Theory of Everything,2014,"['78', 'bach', 'body']"
252,Birdman,2014,"['bullets', 'continued', 'mike']"
253,Shrek the Third,2007,"['artie', 'backstage', 'beer']"
254,Tropic Thunder,2008,"['actors', 'ads', 'bombing']"
255,Burn After Reading,2008,"['130', 'basement', 'break']"
256,The Graduate,1967,"['ballroom', 'ben', 'friends']"
257,Godzilla,2014,"['cable', 'captain', 'counts']"
258,Break,1984,"['13', 'dette', 'freeze']"
259,Commando,1985,"['a85', 'brings', 'cat']"
260,The Manchurian Candidate,2004,"['blaring', 'fade', 'inside']"
261,Heathers,1989,"['duke', 'flamboyant', 'genius']"
262,August Osage County,2013,"['25', 'august', 'bathroom']"
263,Kalifornia,1993,"['adele', 'carrie', 'fairy']"
264,The Surfer King,2006,"['alex', 'beach', 'bet']"
265,Bruce Almighty,2003,"['asleep', 'bruce', 'challenging']"
266,Return of the Apes,2001,"['apes', 'return', 'terry']"
267,As Good As It Gets,1997,"['breaks', 'carol', 'melvin']"
268,Airplane 2 The Sequel,21982,"['aborted', 'astronauts', 'cockpit']"
269,Hellraiser,1987,"['beast', 'blood', 'bottle']"
270,The Fifth Element,1997,"['dead', 'drawers', 'girls']"
271,Belle,2014,"['31', 'alarmed', 'aunt']"
272,The Seventh Seal,1957,"['actors', 'ask', 'beer']"
273,The Haunting,2018,"['blind', 'eye', 'forged']"
274,Evil Dead II Dead by Dawn,2016,"['328', '692', 'ash']"
275,Starship Troopers,1997,"['barcalow', 'biology', 'bugs']"
276,Phone Booth,2002,"['divest', 'expressed', 'friends']"
277,Air Force One,1997,"['force', 'href', 'location']"
278,Logan,2017,"['bag', 'bedtime', 'blood']"
279,9,92009,"['beast', 'cat', 'fountain']"
280,Night Time (The Poltergeist Treatment),1982,"['arriving', 'awake', 'breakfast']"
281,A Serious Man,2009,"['bed', 'cyst', 'hugh']"
282,Courage Under Fire,1996,"['imsdb', 'internet', 'movie']"
283,Swingers,1996,"['favreau', 'jon', 'swingers']"
284,The Doors,1991,"['angeles', 'base', 'basketful']"
285,The Nightmare Before Christmas,1993,"['boogie', 'claws', 'cohorts']"
286,Four Feathers,1915,"['amini', 'draft', 'feathers']"
287,The Avengers,2019,"['200', 'dreaming', 'favorite']"
288,The Big Blue,1988,"['bathrobe', 'bottle', 'collar']"
289,The Breakfast Club,1985,"['disgusted', 'don', 'hey']"
290,Mulan,2020,"['caught', 'concubines', 'men']"
291,Honeydripper,2007,"['cotton', 'gang', 'jukebox']"
292,Freaked,1993,"['cookies', 'elijah', 'ha']"
293,Army of Darkness,1992,"['512', 'crowd', 'dark']"
294,The Crow Salvation,2000,"['chip', 'crow', 'johannessen']"
295,Clash of the Titans,2010,"['beating', 'choppy', 'debate']"
296,Fantastic Mr Fox,2009,"['500', 'badger', 'barking']"
297,The Fabulous Baker Boys,1989,"['basketball', 'cigarette', 'crazy']"
298,Star Wars Attack of the Clones,2002,"['clone', 'concentrates', 'conversation']"
299,An Education,2009,"['95', 'birthday', 'bring']"
300,A Few Good Men,1992,"['16', '20', 'bottle']"
301,Lost Horizon,1937,"['bob', 'crime', 'father']"
302,Rush Hour 2,22001,"['carter', 'casino', 'gangsters']"
303,Bachelor Party,2004,"['beating', 'bus', 'car']"
304,Death to Smoochy,2002,"['backstage', 'dance', 'got']"
305,Lincoln,2012,"['away', 'don', 'race']"
306,Room,2016,"['barking', 'carries', 'cereal']"
307,Coco,2017,"['clerk', 'dante', 'exits']"
308,The Losers,2010,"['44', '45', '89']"
309,Pi,1998,"['goes', 'ibm', 'lenny']"
310,Wall Street,1987,"['apartment', 'bedroom', 'beer']"
311,Labor of Love,2020,"['dangerous', 'drunk', 'father']"
312,Austin Powers  International Man of Mystery,1997,"['austin', 'dr', 'eighths']"
313,Raging Bull,1980,"['afraid', 'beaten', 'celebrities']"
314,It Happened One Night,1934,"['310', 'burn', 'deserted']"
315,The Back up Plan,2010,"['come', 'dessert', 'eyes']"
316,Gone in 60 Seconds,602000,"['agony', 'car', 'cars']"
317,The Salton Sea,2002,"['bathroom', 'bed', 'colette']"
318,The Rocky Horror Picture Show,1975,"['163', 'bottles', 'brad']"
319,Blue Velvet,1986,"['basement', 'broken', 'case']"
320,Living in Oblivion,1995,"['checked', 'dream', 'got']"
321,Boogie Nights,1997,"['16mm', 'costs', 'delivers']"
322,Burning Annie,2007,"['98', 'beth', 'charles']"
323,American Shaolin King of Kickboxers II,1991,"['arrives', 'battle', 'clear']"
324,Enemy of the State,1998,"['enemy', 'state']"
325,Snow White and the Huntsman,2012,"['74', 'cell', 'chamber']"
326,Frozen,2010,"['10', '93', 'asked']"
327,Cruel Intentions,1999,"['15', '36', 'aunt']"
328,Crime Spree,2003,"['bonanno', 'button', 'computer']"
329,House of 1000 Corpses,10002003,"['boom', 'car', 'chevy']"
330,Shampoo,1975,"['beatty', 'href', 'location']"
331,The Whistleblower,2011,"['135', 'door', 'girls']"
332,The Rage Carrie 2,21999,"['black', 'good', 'jesse']"
333,Cars 2,22011,"['countdown', 'don', 'explode']"
334,Amelia,2009,"['39', 'boston', 'cont']"
335,Fear and Loathing in Las Vegas,1998,"['cannonball', 'club', 'contempt']"
336,The Cell,2000,"['basement', 'laboratory', 'miriam']"
337,Edward Scissorhands,1990,"['death', 'drop', 'edward']"
338,Ninotchka,1939,"['cigarette', 'conductor', 'crumble']"
339,Vanilla Sky,2001,"['apartment', 'bedroom', 'david']"
340,Field of Dreams,1989,"['1949', '30', 'come']"
341,Arbitrage,2012,"['bedroom', 'blackmail', 'car']"
342,The Crow,1994,"['beat', 'boo', 'car']"
343,Insidious,2011,"['adele', 'clocks', 'dalton']"
344,The Other Boleyn Girl,2008,"['anne', 'away', 'betrothed']"
345,12 Monkeys,121995,"['abruptly', 'asleep', 'billings']"
346,Crying Game,2019,"['48', 'businesslike', 'car']"
347,Die Hard 2,21990,"['440', '79', 'clothes']"
348,Batman,2021,"['bring', 'eckhardt', 'gimme']"
349,Under Fire,1983,"['alex', 'cab', 'cutbacks']"
350,Win Win,2011,"['bartender', 'daddy', 'flaherty']"
351,Rush Hour,1998,"['anti', 'bachelor', 'blows']"
352,Reindeer Games,2000,"['ashley', 'ceiling', 'fuckin']"
353,Copycat,1995,"['copycat', 'href', 'location']"
354,The Adjustment Bureau,2011,"['bus', 'company', 'disbelieving']"
355,Cecil B. Demented,2000,"['ablaze', 'ardonnay', 'cl']"
356,Pearl Harbor,2001,"['harbor', 'pearl', 'randall']"
357,Ghostbusters,1984,"['anger', 'chicken', 'eerie']"
358,Unknown,2011,"['bathroom', 'bowling', 'cart']"
359,Fast Times at Ridgemont High,1982,"['business', 'cokes', 'damone']"
360,Amadeus,1984,"['blank', 'chairs', 'countess']"
361,Mighty Morphin Power Rangers The Movie,1995,"['alpha', 'exploits', 'hit']"
362,The Grudge,2004,"['54a', '69b', 'cause']"
363,Kung Fu Panda,2008,"['china', 'enemies', 'fu']"
364,Supergirl,2015,"['ask', 'bianca', 'death']"
365,The Wild Bunch,1969,"['boxcars', 'ease', 'massaging']"
366,The Shawshank Redemption,1994,"['1966', '228', 'arrest']"
367,American Werewolf in London,2010,"['begins', 'bruises', 'faster']"
368,Hostage,2005,"['bullets', 'day', 'frees']"
369,The Princess Bride,1987,"['grandpa', 'stables', 'talking']"
370,Six Degrees of Separation,1993,"['bedecked', 'brought', 'emergency']"
371,Cable Guy,1996,"['away', 'babbling', 'cable']"
372,Glengarry Glen Gross,1992,"['14', 'came', 'favor']"
373,17 Again,172009,"['bras', 'ed', 'freedman']"
374,American Beauty,1999,"['benz', 'controlling', 'dad']"
375,Quantum Project,2000,"['23', '38', '46']"
376,28 Days Later,282003,"['burning', 'coma', 'die']"
377,Gods and Monsters,1998,"['adjusts', 'bottle', 'clay']"
378,Ace Ventura Pet Detective,1994,"['ace', 'carrey', 'detective']"
379,Pitch Black,2000,"['dunno', 'fry', 'hellified']"
380,Whiteout,2009,"['bloodshot', 'bone', 'bottle']"
381,Terminator Salvation,2009,"['asleep', 'building', 'bumps']"
382,Dead Poets Society,1989,"['birthday', 'carefully', 'cello']"
383,Sugar and Spice,2017,"['spice', 'sugar']"
