,Movie_Title,Year,ThreeWords
914,I Love You Phillip Morris,2010,"['08', '138', '23']"
915,John Q,2002,"['href', 'john', 'location']"
916,Airplane,1980,"['continues', 'crashes', 'dissolve']"
917,The Bourne Ultimatum,2007,"['98', 'agents', 'black']"
918,Jerry Maguire,1996,"['carpet', 'cat', 'cigarette']"
919,Hellraiser 3 Hell on Earth,31992,"['argue', 'conversation', 'cynical']"
920,The Revenant,2016,"['boys', 'burns', 'christ']"
921,Serial Mom,1994,"['birdfeeder', 'booth', 'breasts']"
922,Antz,1998,"['babies', 'carpenter', 'crippling']"
923,Flash Gordon,1980,"['amazon', 'ashes', 'captain']"
924,The Queen,2006,"['boys', 'clinton', 'corgis']"
925,Election,1999,"['changes', 'class', 'closes']"
926,The Dark Knight Rises,2012,"['alfred', 'bane', 'cat']"
927,Wonder Woman,2017,"['battling', 'diana', 'firing']"
928,Forrest Gump,1994,"['begins', 'brutalize', 'bus']"
929,The French Connection,1971,"['apron', 'bread', 'cigarette']"
930,Event Horizon,1997,"['admiral', 'airlock', 'bathtub']"
931,Nine,2009,"['break', 'cardinal', 'dante']"
932,The Hunt for Red October,1990,"['converter', 'fbnowed', 'greer']"
933,Star Trek Generations,1994,"['21', '7a', 'consoles']"
934,Changeling,2008,"['afraid', 'beat', 'captain']"
935,Killing Zoe,1993,"['clouding', 'eric', 'fires']"
936,Vertigo,1958,"['database', 'imsdb', 'internet']"
937,eXistenZ,1999,"['antenna', 'applaud', 'begins']"
938,Pleasantville,1998,"['away', 'breugal', 'co6kies']"
939,Fatal Instinct,1993,"['apples', 'hello', 'knock']"
940,Midnight Cowboy,1969,"['blindfold', 'buck', 'comb']"
941,Scarface,1983,"['bangled', 'cuba', 'examjning']"
942,The Matrix,1999,"['agent', 'begin', 'break']"
943,Gattaca,1997,"['course', 'dawn', 'detective']"
944,2001 A Space Odyssey,20011968,"['b28', 'big', 'c133']"
945,Rear Window,1954,"['apartment', 'bed', 'coming']"
946,Fright Night (1985),19851985,"['attic', 'beautiful', 'crashing']"
947,Master and Commander,2003,"['barrels', 'god', 'jump']"
948,Bad Country,2014,"['baton', 'bloodshot', 'catfish']"
949,Cobb,1994,"['ain', 'bat', 'cigar']"
950,Deception,2008,"['apologized', 'cityscape', 'continued']"
951,The Curious Case of Benjamin Button,2008,"['246', '25th', 'benjamin']"
952,The Master,2012,"['agencies', 'alley', 'body']"
953,Martha Marcy May Marlene,2011,"['day', 'just', 'kitchen']"
954,Moneyball,2011,"['ball', 'billy', 'fastball']"
955,Body of Evidence,2011,"['bedroom', 'closing', 'finishes']"
956,Dawn of the Dead,2004,"['boards', 'cover', 'creature']"
957,The Ghost and the Darkness,1996,"['bit', 'camp', 'cut']"
958,Liar Liar,1997,"['attack', 'fletcher', 'jerry']"
959,Highlander Endgame,2000,"['99', 'draft', 'end']"
960,Blade Runner,1982,"['bed', 'head', 'man']"
961,Crash,2004,"['camera', 'car', 'cars']"
962,The Anniversary Party,2001,"['brushes', 'gets', 'house']"
963,Chasing Amy,1997,"['alyssa', 'falling', 'flabbergasted']"
964,Never Been Kissed,1999,"['href', 'kissed', 'location']"
965,American Splendor,2003,"['cop', 'couch', 'die']"
966,The Man Who Knew Too Much,1956,"['chapel', 'couple', 'detective']"
967,Warm Springs,2005,"['109', 'aunt', 'cane']"
968,BlacKkKlansman,2018,"['landers', 'martin', 'mob']"
969,The Hills Have Eyes,2006,"['blinds', 'car', 'chair']"
970,The Iron Lady,2012,"['britain', 'brushing', 'change']"
971,Get Low,2010,"['bush', 'chicago', 'funeral']"
972,Manhattan Murder Mystery,1993,"['breakfast', 'carol', 'closet']"
973,Revolutionary Road,2008,"['april', 'curtsies', 'finger']"
974,Bull Durham,1988,"['annie', 'ballpark', 'baseball']"
975,Semi Pro,2008,"['agent', 'bobby', 'champion']"
976,Music of the Heart,1999,"['baby', 'buying', 'closes']"
977,Bonfire of the Vanities,1990,"['228f', '250', '82']"
978,Apocalypse Now,1979,"['alive', 'chieftan', 'colonel']"
979,The Last Boy Scout,1991,"['cheats', 'chortling', 'feel']"
980,The X Files Fight the Future,1998,"['camera', 'dallas', 'glasses']"
981,Lost in Space,2018,"['bright', 'father', 'hits']"
982,The Adventures of Buckaroo Banzai Across the Eighth Dimension,1984,"['99', 'abort', 'banzai']"
983,Men in Black,1997,"['alien', 'arms', 'cat']"
984,Date Night,2010,"['answer', 'apartment', 'best']"
985,What Lies Beneath,2000,"['accident', 'claire', 'cocktail']"
986,The Girl with the Dragon Tattoo,2011,"['94', 'black', 'blomkvist']"
987,Milk,2008,"['28', '47', 'castro']"
988,Conan the Barbarian,2011,"['army', 'battle', 'beast']"
989,We Own the Night,2007,"['bobby', 'ebullient', 'fall']"
990,Smashed,2012,"['band', 'charlie', 'drunk']"
991,The Perks of Being a Wallflower,2012,"['107', '175', 'beatles']"
992,The Power of One,1992,"['arsenal', 'black', 'boys']"
993,Juno,2007,"['afternoon', 'applying', 'barf']"
994,Django Unchained,2012,"['broomhilda', 'crowd', 'derringer']"
995,Dallas Buyers Club,2013,"['bed', 'busted', 'course']"
996,Jackie Brown,1997,"['business', 'champion', 'couch']"
997,Frankenweenie,2012,"['burgemeister', 'girl', 'going']"
998,Croupier,2000,"['42', 'alarm', 'chloe']"
999,The Woodsman,2004,"['ax', 'birthday', 'bus']"
1000,Resident Evil,2002,"['evil', 'george', 'href']"
1001,The Bachelor Party,1957,"['axelrod', 'charlie', 'coming']"
1002,Perfect Creature,2007,"['ago', 'avoiding', 'away']"
1003,Tall in the Saddle,1944,"['beat', 'beef', 'dave']"
1004,Orphan,2009,"['croaring_noise', 'crying', 'esther']"
1005,Beavis and Butt head Do America,1996,"['beavis', 'butt', 'cables']"
1006,Absolute Power,1997,"['279', 'anytime', 'applaud']"
1007,Snatch,2001,"['bleeding', 'caesars', 'course']"
1008,Walking Tall,2004,"['ago', 'army', 'backpack']"
1009,Guardians of the Galaxy Vol 2,22017,"['bomb', 'chambermaid', 'collapse']"
1010,True Lies,1994,"['afford', 'basement', 'going']"
1011,Solaris,1972,"['door', 'hold', 'leave']"
1012,Insomnia,2002,"['disgust', 'pain', 'retrievers']"
1013,Hudson Hawk,1991,"['alex', 'auction', 'block']"
1014,The Majestic (The Bijou),2001,"['caesar', 'cat', 'dad']"
1015,The Croods,2013,"['43', 'belt', 'cavemen']"
1016,Fruitvale Station,2013,"['82', 'fireworks', 'lots']"
1017,The Thing,2016,"['blair', 'dead', 'dogs']"
1018,Basic,2003,"['ass', 'colonel', 'convict']"
1019,Superbad,2007,"['69', 'completely', 'dick']"
1020,Blade,1998,"['burned', 'club', 'frightened']"
1021,Independence Day,1996,"['id4', 'location', 'script']"
1022,Shivers,1976,"['janine', 'll', 'mouth']"
1023,12 and Holding,122006,"['firefighter', 'forgetting', 'fuck']"
1024,Spider Man,1978,"['100', 'away', 'cop']"
1025,The Reader,2009,"['black', 'breakfast', 'buckets']"
1026,The Men Who Stare at Goats,2009,"['baseball', 'beat', 'believed']"
1027,Dark City,1998,"['black', 'bumstead', 'carefully']"
1028,Get on Up,2014,"['1967', '46', '86']"
1029,Sleepless in Seattle,1993,"['annie', 'car', 'chocolates']"
1030,Three Men and a Baby,1987,"['ass', 'boxes', 'boys']"
1031,Thunderheart,1992,"['bone', 'boot', 'crickets']"
1032,The Taking of Pelham One Two Three,1974,"['142', 'aren', 'closing']"
1033,Only God Forgives,2013,"['chang', 'chanting', 'dreamed']"
1034,Constantine,2005,"['100', 'apartment', 'balthazar']"
1035,Being There,1979,"['aren', 'football', 'hallway']"
1036,Equilibrium,2002,"['brought', 'database', 'imsdb']"
1037,The Good Girl,2002,"['aquarter', 'bibles', 'bubba']"
1038,Awakenings,1990,"['cease', 'costello', 'deserted']"
1039,Battle Los Angeles,2011,"['aftershocks', 'airport', 'alien']"
1040,The Pacifier,2005,"['bad', 'begins', 'fends']"
1041,Sherlock Holmes,2009,"['alleyway', 'bath', 'blow']"
1042,Day of the Dead,1985,"['dark', 'dotted', 'hand']"
1043,Gremlins 2,21990,"['108', 'clamp', 'dentist']"
1044,Sneakers,1992,"['database', 'imsdb', 'internet']"
1045,The Big Sick,2017,"['50', 'acne', 'beth']"
1046,Lord of the Rings The Two Towers,1990,"['ambushed', 'aragorn', 'away']"
1047,Buffy the Vampire Slayer,1997,"['buffy', 'slayer', 'vampire']"
1048,The Producer,1967,"['actors', 'bialystock', 'bloom']"
1049,Red Planet,2000,"['0in', '2in', '75in']"
1050,The Ruins,2008,"['bastards', 'bodies', 'bonfire']"
1051,The Wizard of Oz,1939,"['ain', 'bravery', 'dorothy']"
1052,The Deer Hunter,1978,"['buck', 'bursts', 'chewing']"
1053,Hitchcock,2012,"['bottle', 'chutzpah', 'goes']"
1054,The Avengers (2012),20122012,"['banner', 'causing', 'does']"
1055,The Next Three Days,2010,"['closet', 'coat', 'conference']"
1056,Hesher,2011,"['couch', 'dad', 'door']"
1057,The Informant,2009,"['112', 'accelerates', 'angelo']"
1058,The Hebrew Hammer,2003,"['bagels', 'cont', 'extras']"
1059,My Girl,1991,"['family', 'goodnight', 'hi']"
1060,American Milkshake,2013,"['cards', 'exits', 'haroon']"
1061,Beasts of No Nation,2015,"['30', '51', 'celebrate']"
1062,The Elephant Man,1980,"['bath', 'bytes', 'climbing']"
1063,A Nightmare on Elm Street,1984,"['10', 'daughter', 'dreaming']"
1064,Ted,2012,"['91', 'aliens', 'armchair']"
1065,Intolerable Cruelty,2003,"['approximately', 'dinner', 'divorce']"
1066,The Sixth Sense,1999,"['night', 'shyamalan', 'sixth']"
1067,Friday the 13th,131980,"['alice', 'brenda', 'bruce']"
1068,Duck Soup,1933,"['chasing', 'deposits', 'groucho']"
1069,Slither,2006,"['bed', 'darts', 'getting']"
1070,Jason X,2001,"['breaking', 'briggs', 'dripping']"
1071,Pulp Fiction,1994,"['basement', 'bubble', 'butch']"
1072,How to Train Your Dragon,2010,"['02', '13', 'balls']"
1073,42,422013,"['barber', 'desk', 'dodger']"
1074,White Squall,1996,"['bell', 'brings', 'dining']"
1075,Argo,2012,"['106', '165', '283']"
1076,Dune,2020,"['ext', 'gaping', 'huge']"
1077,Terminator,1984,"['165', 'bedroom', 'come']"
1078,Witness,1985,"['aiming', 'book', 'buggy']"
1079,Catch Me If You Can,2002,"['110', '45', 'birthday']"
1080,Brazil,1985,"['brazil', 'screenplay']"
1081,All About Eve,1950,"['almanac', 'anybody', 'babe']"
1082,The Last of the Mohicans,1992,"['buy', 'detonate', 'falls']"
1083,Legally Blonde,2001,"['donovan', 'drinks', 'hell']"
1084,The Birds,1963,"['bear', 'bird', 'body']"
1085,The Nines,2007,"['bed', 'chalk', 'couch']"
1086,The Believer,2002,"['balcony', 'brown', 'carleton']"
